,amt_name,description_x,location,address,description_y,title,link,main_video,display_flag
0,24 Hrs Security Personal,SECURITY ,"Praneeth Pranav Antilia Rd, Bachupally, Hyderabad, Telangana 500090, India","Praneeth Pranav Antilia Rd, Bachupally, Hyderabad, Telangana 500090, India",KESHAVA REDDY SCHOOL,PRANAV ANTILIA VILLAS IN BACHUPALLI HYDERABAD,https://www.youtube.com/embed/HW3S0FTGvd4,Yes,s
39,24 Hrs Security Personal,SECURITY ,"Praneeth Pranav Antilia Rd, Bachupally, Hyderabad, Telangana 500090, India","Praneeth Pranav Antilia Rd, Bachupally, Hyderabad, Telangana 500090, India",BACHUPALLY X ROADS,PRANAV ANTILIA VILLAS IN BACHUPALLI HYDERABAD,https://www.youtube.com/embed/HW3S0FTGvd4,Yes,s
78,24 Hrs Security Personal,SECURITY ,"Praneeth Pranav Antilia Rd, Bachupally, Hyderabad, Telangana 500090, India","Praneeth Pranav Antilia Rd, Bachupally, Hyderabad, Telangana 500090, India",ANDHRABANK ,PRANAV ANTILIA VILLAS IN BACHUPALLI HYDERABAD,https://www.youtube.com/embed/HW3S0FTGvd4,Yes,s
117,24 Hrs Security Personal,SECURITY ,"Praneeth Pranav Antilia Rd, Bachupally, Hyderabad, Telangana 500090, India","Praneeth Pranav Antilia Rd, Bachupally, Hyderabad, Telangana 500090, India",MALLAMPET,PRANAV ANTILIA VILLAS IN BACHUPALLI HYDERABAD,https://www.youtube.com/embed/HW3S0FTGvd4,Yes,s
156,24 Hrs Security Personal,SECURITY ,"Praneeth Pranav Antilia Rd, Bachupally, Hyderabad, Telangana 500090, India","Praneeth Pranav Antilia Rd, Bachupally, Hyderabad, Telangana 500090, India",NIZAMPET,PRANAV ANTILIA VILLAS IN BACHUPALLI HYDERABAD,https://www.youtube.com/embed/HW3S0FTGvd4,Yes,s
195,24 Hrs Security Personal,SECURITY ,"Praneeth Pranav Antilia Rd, Bachupally, Hyderabad, Telangana 500090, India","Praneeth Pranav Antilia Rd, Bachupally, Hyderabad, Telangana 500090, India",REDDY LABS,PRANAV ANTILIA VILLAS IN BACHUPALLI HYDERABAD,https://www.youtube.com/embed/HW3S0FTGvd4,Yes,s
234,24 Hrs Security Personal,SECURITY ,"Praneeth Pranav Antilia Rd, Bachupally, Hyderabad, Telangana 500090, India","Praneeth Pranav Antilia Rd, Bachupally, Hyderabad, Telangana 500090, India",ANDHRA BANK,PRANAV ANTILIA VILLAS IN BACHUPALLI HYDERABAD,https://www.youtube.com/embed/HW3S0FTGvd4,Yes,s
273,24 Hrs Security Personal,SECURITY ,"Praneeth Pranav Antilia Rd, Bachupally, Hyderabad, Telangana 500090, India","Praneeth Pranav Antilia Rd, Bachupally, Hyderabad, Telangana 500090, India",CYBER TOWERS,PRANAV ANTILIA VILLAS IN BACHUPALLI HYDERABAD,https://www.youtube.com/embed/HW3S0FTGvd4,Yes,s
312,24 Hrs Security Personal,SECURITY ,"Praneeth Pranav Antilia Rd, Bachupally, Hyderabad, Telangana 500090, India","Praneeth Pranav Antilia Rd, Bachupally, Hyderabad, Telangana 500090, India",DLF ,PRANAV ANTILIA VILLAS IN BACHUPALLI HYDERABAD,https://www.youtube.com/embed/HW3S0FTGvd4,Yes,s
351,24 Hrs Security Personal,Security Guards,"Rasasri Villas, Nizampet Rd, Bachupally, Nizampet, Hyderabad, Telangana 500090, India","Rasasri Villas, Nizampet Rd, Bachupally, Nizampet, Hyderabad, Telangana 500090, India",Sri Vagdevi Archis School,RASASRI VILLAS IN BACHUPALLI HYDERABAD,https://www.youtube.com/embed/zmYmdm9hEBU,Yes,s
